,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,22000019,1610612758,Kings,SAC,Sacramento,265:00:00,110.1,111.7,107.4,108.9,2.7,2.8,0.6,1.8,17.1,0.322,0.778,0.54,13.317,13.5,0.49,0.536,1,0.197,102.43,100.98,84.15,111,0.473
1,22000019,1610612743,Nuggets,DEN,Denver,265:00:00,107.4,108.9,110.1,111.7,-2.7,-2.8,0.596,1.87,18.5,0.222,0.678,0.46,13.209,13.4,0.52,0.562,1,0.199,102.43,100.98,84.15,112,0.527
0,22000020,1610612762,Jazz,UTA,Utah,240:00:00,118.4,120,100.5,101,17.9,19,0.558,2.18,17.5,0.283,0.855,0.574,10.852,11,0.559,0.586,1,0.198,100.42,99.5,82.92,100,0.583
1,22000020,1610612757,Trail Blazers,POR,Portland,240:00:00,100.5,101,118.4,120,-17.9,-19,0.622,3.83,17.9,0.145,0.717,0.426,6.031,6.1,0.467,0.503,1,0.201,100.42,99.5,82.92,99,0.417
0,22000021,1610612763,Grizzlies,MEM,Memphis,240:00:00,104.9,106.7,113.3,116.2,-8.3,-9.5,0.541,2,14.7,0.241,0.691,0.46,9.367,9.5,0.468,0.53,1,0.2,107.24,105,87.5,105,0.439
1,22000021,1610612737,Hawks,ATL,Atlanta,240:00:00,113.3,116.2,104.9,106.7,8.3,9.5,0.605,1.53,16,0.309,0.759,0.54,13.925,14.3,0.5,0.577,1,0.197,107.24,105,87.5,105,0.561
0,22000022,1610612760,Thunder,OKC,Oklahoma City,240:00:00,102.3,103.8,99.9,100.9,2.4,2.9,0.625,1.47,17.8,0.25,0.738,0.521,15.953,16.2,0.511,0.553,1,0.199,106.82,105.5,87.92,105,0.551
1,22000022,1610612766,Hornets,CHA,Charlotte,240:00:00,99.9,100.9,102.3,103.8,-2.4,-2.9,0.73,2.08,18.4,0.262,0.75,0.479,12.14,12.3,0.468,0.5,1,0.2,106.82,105.5,87.92,106,0.449
0,22000023,1610612765,Pistons,DET,Detroit,290:00:00,94.4,96,103.1,102.4,-8.7,-6.4,0.6,1,15,0.242,0.831,0.529,19.036,19.4,0.49,0.531,1,0.198,103.56,103.03,85.86,124,0.455
1,22000023,1610612739,Cavaliers,CLE,Cleveland,290:00:00,103.1,102.4,94.4,96,8.7,6.4,0.604,1.53,18.1,0.169,0.758,0.471,15.298,15.2,0.551,0.57,1,0.198,103.56,103.03,85.86,125,0.545
0,22000024,1610612764,Wizards,WAS,Washington,240:00:00,105,110.1,117.4,118.2,-12.4,-8.1,0.609,2,18.8,0.214,0.745,0.467,12.246,12.8,0.553,0.559,1,0.198,112.54,109.5,91.25,109,0.43
1,22000024,1610612753,Magic,ORL,Orlando,240:00:00,117.4,118.2,105,110.1,12.4,8.1,0.521,1.79,17,0.255,0.786,0.533,12.64,12.7,0.563,0.603,1,0.197,112.54,109.5,91.25,110,0.57
0,22000025,1610612755,76ers,PHI,Philadelphia,240:00:00,111.6,114.7,92.6,94.7,19,20.1,0.488,1.67,15.4,0.367,0.698,0.539,12.285,12.6,0.528,0.558,1,0.201,96.9,94.5,78.75,95,0.634
1,22000025,1610612752,Knicks,NYK,New York,240:00:00,92.6,94.7,111.6,114.7,-19,-20.1,0.594,1.19,14.8,0.302,0.633,0.461,16.646,17,0.434,0.478,1,0.2,96.9,94.5,78.75,94,0.366
0,22000026,1610612754,Pacers,IND,Indiana,240:00:00,115.4,116.8,97.2,98.1,18.1,18.7,0.654,2.13,22.5,0.25,0.707,0.51,14.766,15,0.608,0.617,1,0.199,108.68,107.5,89.58,107,0.626
1,22000026,1610612741,Bulls,CHI,Chicago,240:00:00,97.2,98.1,115.4,116.8,-18.1,-18.7,0.676,1.15,15.9,0.293,0.75,0.49,18.349,18.5,0.462,0.52,1,0.2,108.68,107.5,89.58,108,0.374
0,22000027,1610612761,Raptors,TOR,Toronto,240:00:00,109,109.6,109.1,114.4,-0.1,-4.8,0.727,2.67,21.8,0.245,0.655,0.454,11.472,11.5,0.536,0.556,1,0.199,106.82,104,86.67,104,0.491
1,22000027,1610612759,Spurs,SAS,San Antonio,240:00:00,109.1,114.4,109,109.6,0.1,4.8,0.766,2.25,22.6,0.345,0.755,0.546,14.674,15.4,0.54,0.556,1,0.198,106.82,104,86.67,104,0.509
0,22000028,1610612762,Jazz,UTA,Utah,240:00:00,100.7,105.7,108.5,110.5,-7.8,-4.8,0.417,0.79,10.4,0.45,0.712,0.58,17.229,18.1,0.436,0.503,1,0.198,108.6,105,87.5,105,0.475
1,22000028,1610612750,Timberwolves,MIN,Minnesota,240:00:00,108.5,110.5,100.7,105.7,7.8,4.8,0.467,2.1,15,0.288,0.55,0.42,9.353,9.5,0.51,0.533,1,0.198,108.6,105,87.5,105,0.525
0,22000029,1610612757,Trail Blazers,POR,Portland,265:00:00,111.2,117.4,117.7,117.8,-6.5,-0.3,0.574,1.93,17.6,0.373,0.739,0.533,12.161,12.8,0.554,0.571,1,0.2,100.62,97.81,81.51,109,0.499
1,22000029,1610612745,Rockets,HOU,Houston,265:00:00,117.7,117.8,111.2,117.4,6.5,0.3,0.6,1.69,18.7,0.261,0.627,0.467,14.942,15,0.58,0.623,1,0.202,100.62,97.81,81.51,107,0.501
0,22000030,1610612758,Kings,SAC,Sacramento,240:00:00,102.4,102.9,98.4,99,4,3.9,0.513,1.11,14.4,0.327,0.776,0.564,17.388,17.5,0.483,0.527,1,0.201,104.12,103.5,86.25,103,0.52
1,22000030,1610612756,Suns,PHX,Phoenix,240:00:00,98.4,99,102.4,102.9,-4,-3.9,0.61,2.27,17.9,0.224,0.673,0.436,10.504,10.6,0.474,0.497,1,0.199,104.12,103.5,86.25,104,0.48
0,22000031,1610612746,Clippers,LAC,LA,240:00:00,77.8,77.7,129.3,130.5,-51.5,-52.9,0.5,0.93,11.6,0.14,0.696,0.406,14.925,14.9,0.368,0.43,1,0.198,94.84,94.5,78.75,94,0.207
1,22000031,1610612742,Mavericks,DAL,Dallas,240:00:00,129.3,130.5,77.8,77.7,51.5,52.9,0.581,3.13,19,0.304,0.86,0.594,8.344,8.4,0.575,0.627,1,0.195,94.84,94.5,78.75,95,0.793
0,22000032,1610612766,Hornets,CHA,Charlotte,240:00:00,100.5,102.9,98.1,100,2.4,2.9,0.814,2.33,22.8,0.276,0.784,0.514,14.221,14.6,0.5,0.512,1,0.194,105.74,103.5,86.25,103,0.529
1,22000032,1610612751,Nets,BKN,Brooklyn,240:00:00,98.1,100,100.5,102.9,-2.4,-2.9,0.657,1.21,17,0.216,0.724,0.486,17.925,18.3,0.53,0.559,1,0.202,105.74,103.5,86.25,104,0.471
0,22000033,1610612764,Wizards,WAS,Washington,240:00:00,110,110.8,119.1,118.8,-9.1,-8,0.574,2.08,18.9,0.314,0.75,0.525,12.656,12.7,0.526,0.55,1,0.199,101.72,101.5,84.58,102,0.463
1,22000033,1610612753,Magic,ORL,Orlando,240:00:00,119.1,118.8,110,110.8,9.1,8,0.514,1.9,14.5,0.25,0.686,0.475,9.929,9.9,0.488,0.59,1,0.201,101.72,101.5,84.58,101,0.537
0,22000034,1610612759,Spurs,SAS,San Antonio,240:00:00,91.8,95,96.3,96.1,-4.5,-1.1,0.684,1.73,19.5,0.157,0.75,0.487,14.49,15,0.489,0.513,1,0.201,102.64,101,84.17,100,0.504
1,22000034,1610612740,Pelicans,NOP,New Orleans,240:00:00,96.3,96.1,91.8,95,4.5,1.1,0.417,1.88,11.6,0.25,0.843,0.513,7.862,7.8,0.41,0.459,1,0.199,102.64,101,84.17,102,0.496
0,22000035,1610612755,76ers,PHI,Philadelphia,240:00:00,91.5,94,114.5,116.8,-23,-22.8,0.727,1.09,17.8,0.271,0.696,0.479,21.426,22,0.494,0.53,1,0.199,102.86,100.5,83.75,100,0.372
1,22000035,1610612739,Cavaliers,CLE,Cleveland,240:00:00,114.5,116.8,91.5,94,23,22.8,0.646,1.94,21.4,0.304,0.729,0.521,15.528,15.8,0.577,0.602,1,0.196,102.86,100.5,83.75,101,0.628
0,22000036,1610612752,Knicks,NYK,New York,240:00:00,124,131.3,108.1,110,15.9,21.3,0.587,1.69,19.3,0.341,0.65,0.525,15.256,16.2,0.635,0.671,1,0.197,103.32,99.5,82.92,99,0.591
1,22000036,1610612749,Bucks,MIL,Milwaukee,240:00:00,108.1,110,124,131.3,-15.9,-21.3,0.585,2.18,16.8,0.35,0.659,0.475,10.81,11,0.468,0.51,1,0.2,103.32,99.5,82.92,100,0.409
0,22000037,1610612754,Pacers,IND,Indiana,240:00:00,105.3,105.9,105.4,104.9,-0.1,1,0.511,1.44,17.2,0.196,0.78,0.471,15.595,15.7,0.551,0.571,1,0.197,102.08,102,85,102,0.485
1,22000037,1610612738,Celtics,BOS,Boston,240:00:00,105.4,104.9,105.3,105.9,0.1,-1,0.525,1.17,16.3,0.22,0.804,0.529,17.724,17.6,0.563,0.597,1,0.203,102.08,102,85,102,0.515
0,22000038,1610612744,Warriors,GSW,Golden State,240:00:00,108.2,113.2,109.7,111.3,-1.5,1.9,0.595,2.08,16.2,0.25,0.721,0.439,10.067,10.5,0.49,0.55,1,0.2,117.92,114.5,95.42,114,0.481
1,22000038,1610612741,Bulls,CHI,Chicago,240:00:00,109.7,111.3,108.2,113.2,1.5,-1.9,0.614,1.13,17.9,0.279,0.75,0.561,20.576,20.9,0.61,0.642,1,0.201,117.92,114.5,95.42,115,0.519
0,22000039,1610612758,Kings,SAC,Sacramento,240:00:00,101,102,116.2,117.2,-15.2,-15.1,0.583,1.4,17.1,0.14,0.796,0.489,15.152,15.3,0.539,0.575,1,0.202,99.42,98.5,82.08,98,0.403
1,22000039,1610612756,Suns,PHX,Phoenix,240:00:00,116.2,117.2,101,102,15.2,15.1,0.739,3.78,24,0.204,0.86,0.511,9.014,9.1,0.564,0.587,1,0.197,99.42,98.5,82.08,99,0.598
0,22000040,1610612750,Timberwolves,MIN,Minnesota,240:00:00,82.6,85.8,115.5,119.8,-32.9,-34,0.632,1.33,15.9,0.343,0.78,0.509,16.34,17,0.398,0.417,1,0.198,110.04,106,88.33,106,0.294
1,22000040,1610612747,Lakers,LAL,Los Angeles,240:00:00,115.5,119.8,82.6,85.8,32.9,34,0.64,1.88,21.8,0.22,0.657,0.491,15.466,16,0.628,0.648,1,0.197,110.04,106,88.33,106,0.706
0,22000041,1610612765,Pistons,DET,Detroit,240:00:00,120.5,120,126.6,126.7,-6.1,-6.7,0.558,3,17.1,0.298,0.75,0.495,8.035,8,0.505,0.553,1,0.199,100.32,100.5,83.75,100,0.445
1,22000041,1610612737,Hawks,ATL,Atlanta,240:00:00,126.6,126.7,120.5,120,6.1,6.7,0.75,2.31,21.6,0.25,0.702,0.505,12.861,12.9,0.61,0.666,1,0.2,100.32,100.5,83.75,101,0.555
0,22000042,1610612763,Grizzlies,MEM,Memphis,265:00:00,102,105.5,99.6,100,2.4,5.5,0.476,1.05,13.4,0.35,0.729,0.538,16.702,17.3,0.48,0.524,1,0.199,102,100.08,83.4,110,0.491
1,22000042,1610612751,Nets,BKN,Brooklyn,265:00:00,99.6,100,102,105.5,-2.4,-5.5,0.683,1.65,18.4,0.271,0.65,0.462,15.249,15.3,0.48,0.516,1,0.201,102,100.08,83.4,111,0.509
0,22000043,1610612762,Jazz,UTA,Utah,240:00:00,108.7,111.1,104.4,107.9,4.3,3.2,0.558,1.41,18,0.244,0.72,0.495,16.805,17.2,0.576,0.597,1,0.2,102.76,100,83.33,99,0.531
1,22000043,1610612760,Thunder,OKC,Oklahoma City,240:00:00,104.4,107.9,108.7,111.1,-4.3,-3.2,0.525,1.24,15.9,0.28,0.756,0.505,16.29,16.8,0.552,0.578,1,0.196,102.76,100,83.33,101,0.469
0,22000044,1610612745,Rockets,HOU,Houston,240:00:00,103.6,106.7,116.9,120.4,-13.3,-13.7,0.641,1.56,18.2,0.192,0.714,0.446,14.937,15.4,0.547,0.577,1,0.196,106.6,103.5,86.25,104,0.412
1,22000044,1610612743,Nuggets,DEN,Denver,240:00:00,116.9,120.4,103.6,106.7,13.3,13.7,0.674,1.94,20.9,0.286,0.808,0.554,15.083,15.5,0.609,0.613,1,0.195,106.6,103.5,86.25,103,0.588
0,22000045,1610612757,Trail Blazers,POR,Portland,240:00:00,113.2,115,103,109.2,10.2,5.8,0.628,2.7,19.9,0.235,0.813,0.515,9.843,10,0.554,0.583,1,0.197,102.76,99,82.5,100,0.554
1,22000045,1610612747,Lakers,LAL,Los Angeles,240:00:00,103,109.2,113.2,115,-10.2,-5.8,0.488,1.33,15.4,0.188,0.765,0.485,14.434,15.3,0.529,0.564,1,0.193,102.76,99,82.5,98,0.446
0,22000046,1610612752,Knicks,NYK,New York,240:00:00,93.8,96,89,86.9,4.9,9.1,0.676,0.85,16.6,0.375,0.741,0.575,26.669,27.3,0.519,0.538,1,0.198,98.96,99,82.5,99,0.527
1,22000046,1610612739,Cavaliers,CLE,Cleveland,240:00:00,89,86.9,93.8,96,-4.9,-9.1,0.688,1.69,16.6,0.259,0.625,0.425,13.446,13.1,0.403,0.44,1,0.202,98.96,99,82.5,99,0.473
0,22000047,1610612744,Warriors,GSW,Golden State,240:00:00,108.6,117.2,102.2,108.2,6.4,9,0.553,1.11,15.9,0.311,0.651,0.509,17.784,19.2,0.592,0.632,1,0.2,105.3,98.5,82.08,99,0.564
1,22000047,1610612765,Pistons,DET,Detroit,240:00:00,102.2,108.2,108.6,117.2,-6.4,-9,0.6,1.4,14.9,0.349,0.689,0.491,14.456,15.3,0.451,0.506,1,0.2,105.3,98.5,82.08,98,0.436
0,22000048,1610612754,Pacers,IND,Indiana,240:00:00,108.8,109.9,118,116,-9.2,-6.1,0.628,1.8,20.3,0.19,0.727,0.465,14.7,14.9,0.583,0.61,1,0.198,100.16,100.5,83.75,101,0.485
1,22000048,1610612738,Celtics,BOS,Boston,240:00:00,118,116,108.8,109.9,9.2,6.1,0.525,1.5,16,0.273,0.81,0.535,14.245,14,0.556,0.602,1,0.201,100.16,100.5,83.75,100,0.515
0,22000049,1610612761,Raptors,TOR,Toronto,240:00:00,87.6,89.4,91.3,94.3,-3.7,-4.9,0.656,1.05,15.3,0.22,0.685,0.442,18.839,19.2,0.45,0.484,1,0.198,107.84,105,87.5,104,0.404
1,22000049,1610612755,76ers,PHI,Philadelphia,240:00:00,91.3,94.3,87.6,89.4,3.7,4.9,0.656,1.05,15.1,0.315,0.78,0.558,18.262,18.9,0.429,0.508,1,0.197,107.84,105,87.5,106,0.596
